Date,Headline
23 May 2024,NEJM AI paper on [Interpretable ML for critical care EEG patterns](Improving Clinician Performance in Classifying EEG Patterns on the Ictal-Interictal Injury Continuum Using Interpretable Machine Learning)
09 May 2024,James' paper published in JNCN: [GPDs in Catatonia](https://pubmed.ncbi.nlm.nih.gov/38720623/)
26 April 2024,Fabio's and JJ's [pilot RCT on teaching IED recognition to neurology residents](https://pubmed.ncbi.nlm.nih.gov/38669007/)
08 April 2024,[Kaggle IIIC Classification Competition winners!](https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/leaderboard)
17 Feb 2024,Daniel's paper [Minimum clinical utility standards for wearable seizure detectors: A simulation study](https://pubmed.ncbi.nlm.nih.gov/38366862/) published in Epilepsia
02 February 2024,"Ruoqi and Wolfgang's [paper about Sleep~Cognition~MRI](https://pubmed.ncbi.nlm.nih.gov/37950486/) is out in SLEEP: [paper](/downloads/11a-2024-wolfgang-ruoqi-eeg-mri.pdf), [supplement](/downloads/11b-2024-wolfgang-ruoqi-eeg-mri-supp.docx), [editorial](/downloads/11c-2024-wolfgang-ruoqi-eeg-mri-editorial.pdf)."
08 January 2024,[Kaggle Competition launched!: Harmful Brain Activity Classification. $50K in prizes](https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification)
08 December 2023,Haoqi's paper [Assessing Risk of Health Outcomes From Brain Activity in Sleep](/downloads/10-sleepOutcomePrediction.pdf) is out! See also this [nice editorial](/downloads/10-sleepOutcomePredictionEditorial.pdf).
07 December 2023,New dataset and code!: [Real-Time Segmentation of Burst Suppression Patterns in Critical Care EEG Monitoring](https://bdsp.io/content/bsupp/1.0/) is published on BDSP
29 November 2023,New dataset release!: [The Human Burst Suppression Electroencephalogram of Deep Hypothermia](https://bdsp.io/content/dhypothermia/1.0/) is published on BDSP
13 November 2023,[E-CAM-S](https://bdsp.io/content/e-cam-s/1.0/) is published on [BDSP](bdsp.io)!
6 October 2023,Kalyan and Jay's [paper showing automated spindle detection is better](https://pubmed.ncbi.nlm.nih.gov/37803266/) than sigma power is out!
9 September 2023,The [Harvard-Emory ECG Database](https://bdsp.io/content/heedb/1.0/) is published on BDSP
29 August 2023,Eddy and Weilong's epic [paper about how the EEG evolves following cardiac arrest](https://pubmed.ncbi.nlm.nih.gov/37414565/) is published in Neurology.
28 August 2023,Eddy and the Physionet Challenge team published a [description of the I-CARE dataset](https://pubmed.ncbi.nlm.nih.gov/37693458/)
6 August 2023,Christine's work on [physiological grading of ICANS neurotoxicity](https://pubmed.ncbi.nlm.nih.gov/37545104/) for patients receiving CAR-T therapy is out!
1 August 2023,"Fabio, Jaden & JJ's [paper](https://pubmed.ncbi.nlm.nih.gov/37681118/) on learning EEG through competition is out!"
21 July 2023,[Neurology Today did a piece](https://journals.lww.com/neurotodayonline/pages/articleviewer.aspx?year=2023&issue=07200&article=00001&type=Fulltext&utm_source=twitter&utm_medium=organic%20social) on our recent [paper in Lancet Digital Health](https://www.thelancet.com/journals/landig/article/PIIS2589-7500(23)00088-2/fulltext)
15 July 2023,"Noor's paper, [Decoding information about cognitive health from the brainwaves of sleep](https://www.nature.com/articles/s41598-023-37128-7) is out!"
15 June 2023,The [Harvard Electroencephalography Database](https://bdsp.io/content/harvard-eeg-db/1.0/) is published on [BDSP](bdsp.io)!
6 June 2023,Harsh's and Haoqi's paper with Cynthia Rundin and Alex Volfovsky is published in [Lancet Digital Health](https://www.thelancet.com/journals/landig/article/PIIS2589-7500(23)00088-2/fulltext)
23 May 2023,The first installment of the [Human Sleep Project](https://bdsp.io/content/hsp/1.0/) is published on [bdsp.io](bdsp.io)
5 May 2023,[SPaRCNet repository](https://bdsp.io/content/bdsp-sparcnet/1.1/) published on [bdsp.io](bdsp.io)!
5 May 2023,Patrick and Sahar's work relating [epileptiform activity in toxic metabolic encephalopathy](https://pubmed.ncbi.nlm.nih.gov/37168691/) to neurologic outcomes is published.
1 May 2023,[ML contest launched!](https://www.eventbrite.com/e/harmful-brain-activity-classification-contest-tickets-598785823517). Compete with other teams to develop neural networks that classify patterns of harmful brain activity. Top prize $10K!
11 March 2023,"JJ and Wendong's companion papers on [expert reliability](https://pubmed.ncbi.nlm.nih.gov/36460472/) and [automated detection of seizures and IIIC patterns](https://pubmed.ncbi.nlm.nih.gov/36878708/) are out in Neurology, with an accompanying [editorial](https://pubmed.ncbi.nlm.nih.gov/36878700/)."
01 March 2023,Brandon gave the [Harvard Longwood Neurology Grand Rounds - Geschwind Lecture](https://bostonchildrens.zoom.us/rec/share/RUZo0Z2TZbzUKfm2UogltYmvL_yIyBwmYDH1RaeO3OneLSdO0p9C8TfjMrLX22hR.2_913cP_2bch69Bb?startTime=1677687386000). The talk starts at 00:16:15.
27 February 2023,Wolfgang's paper on [sleep staging in the ICU](https://www.frontiersin.org/articles/10.3389/fnetp.2023.1120390/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Network_Physiology&id=1120390) using heart rate and breathing signals is out!
27 February 2023,"Daniel, Haoqi and Wolfgang's [SSAML](https://www.mdpi.com/2227-9059/11/3/685) (Sample Size Analysis for Machine Learning validation studies) is in print!"
10 February 2023,The [2023 Physionet Challenge](https://moody-challenge.physionet.org/2023/) is launched! Compete to develop the most accurate algorithm to predict neurologic recovery for patients with coma following cardiac arrest.
02 February 2023,Juan and Haoqi's paper [Intraoperative electroencephalographic marker of preoperative frailty](https://pubmed.ncbi.nlm.nih.gov/36738630/) is published in JCA
19 January 2023,Haoqi's paper is published in Neurobiology of Aging: [The Sleep and Wake Electroencephalogram over the Lifespan](https://www.sciencedirect.com/science/article/abs/pii/S0197458023000076)
9 November 2022,[Medical students beat EEG experts at recognizing IIIC patterns in EEGs!](https://centaurlabs.medium.com/beating-the-eeg-experts-de7fcd0690b8)
24 December 2022,"Jason and Seun's MINDDS trial results are published in EClinicalMedicine: [Nighttime dexmedetomidine for delirium prevention in non-mechanically ventilated patients after cardiac surgery (MINDDS): A single-centre, parallel-arm, randomised, placebo-controlled superiority trial](https://pubmed.ncbi.nlm.nih.gov/36590787/)"
22 December 2022,Jin Jing's (JJ's) paper is published in Neurology: [Interrater Reliability of Expert Electroencephalographers Identifying Seizures and Rhythmic and Periodic Patterns in Electroencephalograms](https://pubmed.ncbi.nlm.nih.gov/36460472/).
30 November 2022,"Elissa, Haoqi, and Alice's paper is published in _Sleep_: [Dementia Detection from Brain Activity During Sleep](https://pubmed.ncbi.nlm.nih.gov/36448766/)"
28 November 2022,Chaoqi's paper on Augmenting Tensor Decomposition by Self Supervision is published in NeurIPS: [ATD: Augmenting CP Tensor Decomposition by Self Supervision](https://realsunlab.medium.com/atd-augmenting-cp-tensor-decomposition-by-self-supervision-c9dcfbd71915). Code is [here.](https://github.com/ycq091044/ATD)
17 November 2022,Fabio and JJ's paper is published in Clinical Neurophysiology: [A quantitative approach to evaluating interictal epileptiform discharges based on interpretable quantitative criteria](https://pubmed.ncbi.nlm.nih.gov/36473334/). Code is [here.](https://github.com/bdsp-core/IFCN6)
19 November 2022,Daniel's paper is published in Epilepsia: [Flexible realistic simulation of seizure occurrence recapitulating statistical properties of seizure diaries](https://pubmed.ncbi.nlm.nih.gov/36401798/)
10 November 2022,Yalda and Christine's paper about predicting the timecourse of neurotoxicity after CAR-T therapy is published in the Journal of Immunotherapy and Cancer [Forecasting immune effector cell-associated neurotoxicity syndrome after chimeric antigen receptor t-cell therapy](https://pubmed.ncbi.nlm.nih.gov/36450377/)
14 October 2022,Jenn's paper is published in JNNP: [Quantitative epileptiform burden and electroencephalography background features predict post-traumatic epilepsy](https://pubmed.ncbi.nlm.nih.gov/36241423/)
1 November 2022,Jiangling's paper is published in the Journal of Neurophysiology: [A mechanistic model of calcium homeostasis leading to occurrence and propagation of secondary brain injury](https://pubmed.ncbi.nlm.nih.gov/36197012/)
1 October 2022,Danny & Christine's paper is published in Nature Scientific Reports:  [EEG-based grading of immune effector cell-associated neurotoxicity syndrome](https://www.nature.com/articles/s41598-022-24010-1)
1 October 2022,Fabio & JJ's paper is published in Neurophysiologie Clinique: [EEG reading with or without clinical information - a real-world practice study](https://pubmed.ncbi.nlm.nih.gov/36127207/)
26 September 2022,New paper with our collaborators Cynthia Rudin and Alex Volfovsky: [Effects of Epileptiform Activity on Discharge Outcome in Critically Ill Patients](https://arxiv.org/abs/2203.04920/)
