Date,Headline
21 Nov 2024,[BDSP is officially an NIH-recognized data sharing platform](https://www.nlm.nih.gov/NIHbmic/domain_specific_repositories.html?txtSearch=brain+data+science)
13 Nov 2024,[New dataset: Sleep Electroencaphalography-Based Brain Age Index](https://bdsp.io/content/ss/0.99/)
7 Nov 2024,[ECG dataset update: Harvard Electroencephalography Database v 2.0](https://bdsp.io/content/harvard-eeg-db/2.0/)
31 Oct 2024,[Marta and Sahar's paper on extracting mRS from notes is published in JAHA](https://www.ahajournals.org/doi/epub/10.1161/JAHA.124.036386)
25 Oct 2024,[How to tell if GPDs are `ictal': Commentary from Marcus Ng et al](https://pubmed.ncbi.nlm.nih.gov/39422357/)
22 Oct 2024,[Dataset publication: Assessing Risk of Health Outcomes From Brain Activity in Sleep](https://bdsp.io/content/rhofbas/1.0/)
10 Sept 2024,[Kayley's paper on EEG spectrogram patterns is out!](https://pubmed.ncbi.nlm.nih.gov/39360183/)
10 Sept 2024,[Marta's paper on extracting seizure control metrics from notes is published](https://pubmed.ncbi.nlm.nih.gov/39276641/)
31 Aug 2024,[Wolfgang's and Sameneh's paper is published in SLEEP](https://pubmed.ncbi.nlm.nih.gov/39215679/)
26 July 2024,[Wendong's and Lidia's paper published about NLP identification of fall-related injuries in EHR notes](https://pubmed.ncbi.nlm.nih.gov/39060160/)
24 July 2024,[Shawn's and Eddy's paper on burst similarity ~ MRI in postanoxic coma](https://pubmed.ncbi.nlm.nih.gov/39043984/)
07 Aug 2024,"[Chris, Sam, Shashank, and JJ's paper is out on estimating PD frequency](https://pubmed.ncbi.nlm.nih.gov/39111323/)"
09 July 2024,[AWS article](https://aws.amazon.com/blogs/publicsector/brain-data-science-platform-increases-eeg-accessibility-with-open-data-and-research-enabled-by-aws/) about [BDSP!](bdsp.io)
12 June 2024,Harsh's and Sahar's paper published in ACTN: [Sample Size Calculations for Neuro-ICU Clinical Trials: Yikes.](https://pubmed.ncbi.nlm.nih.gov/38867375/)
